PubIssueID,Title,NA Gaps,First Volume,Last Volume
sim-anatomia-clinica,Anatomia Clinica,,1978.0,1981.0
sim_-,The - -,,1826.0,1826.0
sim_1001-home-ideas,1001 Home Ideas,,1986.0,1991.0
sim_102-monitor,102 Monitor,,1975.0,1981.0
sim_20th-century-british-history,20th Century British History,,1990.0,1994.0
sim_50-plus,50 Plus,,1978.0,1988.0
sim_73-amateur-radio-today,73 Amateur Radio Today,,1960.0,2003.0
sim_80-micro,80 Micro,,1980.0,1988.0
sim_a-deaf-american-monograph,A Deaf American Monograph,1930; 1931; 1932; 1933; 1934; 1935; 1936; 1937; 1938; 1939; 1940; 1941; 1942; 1943; 1944; 1945; 1946; 1947; 1985; 1986; ,1888.0,1998.0
sim_a-m-a-archives-of-industrial-health,AMA Archives of Industrial Health,,1950.0,1960.0
sim_a-plus,A+,,1983.0,1989.0
sim_a-republican-magazine-or-repository-of-political-truths,"A Republican Magazine; Or, Repository of Political Truths",,1798.0,1798.0
sim_a-rivista-anarchica,A/Rivista Anarchica,,1971.0,1973.0
sim_aI-expert,AI Expert,,1986.0,1995.0
sim_aace-international-transactions,AACE International Transactions,,1975.0,2004.0
sim_aacn-advanced-critical-care,AACN Advanced Critical Care,,1992.0,2009.0
sim_aacp-teachers-seminar-proceedings,American Association of Colleges of Pharmacy Teachers' Seminar: Proceedings,,1950.0,1963.0
sim_aal-bilad-al-sa-udiyyah,Aal-Bilad al Sa'udiyyah,,,
sim_aana-journal,AANA Journal,,1933.0,2014.0
sim_aarc-times,AARC Times,,1983.0,2013.0
sim_aarp-modern-maturity,AARP Modern Maturity,,1995.0,2003.0
sim_aarp-the-magazine,AARP the Magazine,,2003.0,2013.0
sim_aasa-official-report,AASA Official Report,,1971.0,1972.0
sim_aatcc-review,American Association of Textile Chemists and Colorists: AATCC Review,,2001.0,2012.0
sim_aba-bank-marketing,ABA Bank Marketing,,1974.0,2010.0
sim_aba-journal,ABA Journal,,1915.0,2016.0
sim_abacus,Abacus,,1965.0,2013.0
sim_abbottempo,Abbottempo,,1963.0,1965.0
sim_abdominal-imaging,Abdominal Imaging,,1993.0,1999.0
sim_abendpost-sonntagpost,Abendpost & Sonntagpost,1922; 1923; 1924; 1925; 1926; 1927; 1928; 1929; 1930; 1931; 1932; 1933; 1934; 1935; 1936; 1937; 1938; 1939; 1940; 1941; 1942; 1943; 1944; 1945; 1946; 1947; 1948; 1949; 1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; ,1889.0,1979.0
sim_aberdeen-angus-journal,Aberdeen-Angus Journal,,1919.0,1979.0
sim_abnf-journal,ABNF Journal,2004; 2009; ,2001.0,2011.0
sim_abolition-intelligencer-and-missionary-magazine,Abolition Intelligencer and Missionary Magazine,,1822.0,1823.0
sim_abolitionist-or-record-of-thengland-anti-slavery-society,Abolitionist: Or Record of the New England Anti-Slavery Society,,1833.0,1833.0
sim_about-campus,About Campus,1995; ,2001.0,2001.0
sim_about-the-house,About the House,,1962.0,1992.0
sim_abraham-lincoln-quarterly,The Abraham Lincoln Quarterly,1951; ,1948.0,1952.0
sim_abrasive-engineering,Abrasive Engineering,1967; ,1955.0,1974.0
sim_abridged-index-medicus,Abridged Index Medicus,,1973.0,1997.0
sim_absees-soviet-and-east-european-abstracts-series,ABSEES: Soviet and East European Abstracts Series,,1987.0,1990.0
sim_abside,Abside,,1975.0,1978.0
sim_abstracts-of-declassified-documents,Abstracts of Declassified Documents,,1947.0,1948.0
sim_abstracts-of-english-studies,Abstracts of English Studies,,1958.0,1991.0
sim_abstracts-of-folklore-studies,Abstracts of Folklore Studies,,1963.0,1975.0
sim_abstracts-of-health-care-management-studies,Abstracts of Health Care Management Studies,,1965.0,1987.0
sim_abstracts-of-north-american-geology,Abstracts of North American Geology,,1966.0,1971.0
sim_abstracts-of-papers-american-mathematical-society,Abstracts of Papers Presented to the American Mathematical Society,,1980.0,2004.0
sim_abstracts-of-photographic-science-and-engineering,Abstracts of Photographic Science and Engineering Literature,,1962.0,1972.0
sim_abstracts-of-working-papers-in-economics,Abstracts of Working Papers in Economics,,1991.0,1995.0
sim_abstracts-of-world-medicine,Abstracts of World Medicine,,1947.0,1971.0
sim_abstracts-on-hygiene-and-communicable-diseases,Abstracts on Hygiene and Communicable Diseases,,1976.0,1989.0
sim_abtics-abstract-and-book-title-index-card-service,ABTICS (Abstract and Book Title Index Card Service),,1960.0,1971.0
sim_abundant-life-magazine,Abundant Life Magazine,,1975.0,1979.0
sim_academe,Academe,,1915.0,2014.0
sim_academic-emergency-medicine,Academic Emergency Medicine,1997; 2002; 2003; 2004; 2005; 2006; ,1994.0,2007.0
sim_academic-medicine,Academic Medicine,,1926.0,2013.0
sim_academic-psychiatry,Academic Psychiatry,,1977.0,2010.0
sim_academic-questions,Academic Questions,,1987.0,2005.0
sim_academician,Academician,,1818.0,1820.0
sim_academie-des-inscriptions-et-belles-lettres-paris,"Academie Des Inscriptions et Belles Lettres, Paris. Recueil Des Historiens Des Gaules et de la France",1856; 1857; 1858; 1859; 1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1872; 1873; 1875; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890; 1891; 1892; 1893; 1894; 1895; 1896; 1897; 1898; 1899; 1900; 1901; 1902; 1903; ,1840.0,1904.0
sim_academy-and-literature,The Academy and Literature,,1869.0,1916.0
sim_academy-architecture-and-architectural-review,Academy Architecture and Architectural Review,,1889.0,1931.0
sim_academy-of-management-best-papers-proceedings,Academy of Management. Best Papers Proceedings,,1948.0,1997.0
sim_academy-of-management-journal,Academy of Management Journal,,1958.0,2016.0
sim_academy-of-management-perspectives,The Academy of Management Perspectives,,1987.0,2012.0
sim_academy-of-management-review,The Academy of Management Review,,1976.0,2015.0
sim_academy-of-marketing-science-journal,Academy of Marketing Science. Journal,,1973.0,2014.0
sim_academy-of-political-science-proceedings,Academy of Political Science. Proceedings of the Academy of Political Science,,1910.0,1992.0
sim_accademie-e-biblioteche-ditalia,Accademie e Biblioteche d'Italia,2005; ,1927.0,2009.0
sim_accent,Accent,,1976.0,1996.0
sim_accent-on-living,Accent on Living,,1956.0,2002.0
sim_access,Access,,1975.0,1985.0
sim_access-control-security-systems,Access Control & Security Systems,,1958.0,1980.0
sim_accident-analysis-and-prevention,Accident Analysis and Prevention,,1969.0,2010.0
sim_accountancy,Accountancy,,1928.0,2013.0
sim_accountancy-age,Accountancy Age,1981; 1982; ,1975.0,1989.0
sim_accountancy-ireland,Accountancy Ireland,,1975.0,2003.0
sim_accountant,Accountant,,1975.0,2010.0
sim_accountants-digest,The Accountants Digest,,1973.0,1989.0
sim_accounting-and-business-research,Accounting and Business Research,,1970.0,2012.0
sim_accounting-and-finance,Accounting and Finance,,1986.0,2014.0
sim_accounting-forum,Accounting Forum,1984; ,1974.0,1985.0
sim_accounting-historians-journal,The Accounting Historians Journal,2002; ,1991.0,2008.0
sim_accounting-horizons,Accounting Horizons,,1987.0,2013.0
sim_accounting-office-management-administration-report,Accounting Office Management & Administration Report,,2005.0,2006.0
sim_accounting-organizations-and-society,"Accounting, Organizations and Society",,1976.0,2011.0
sim_accounting-review,The Accounting Review,,1926.0,2015.0
sim_accounting-technology,Accounting Technology,,1987.0,2009.0
sim_accounting-today,Accounting Today,,1991.0,2011.0
sim_accounts-of-chemical-research,Accounts of Chemical Research,,1968.0,2011.0
sim_accreditation-and-quality-assurance,Accreditation and Quality Assurance,,1998.0,2003.0
sim_acero-latinoamericano,Acero Latinoamericano,1974; 1975; 1976; ,1971.0,1980.0
sim_acha-action,American College Health Association: ACHA Action,,1977.0,1981.0
sim_achievement,Achievement,1983; 1984; 1985; 1986; 1987; 1988; 1990; ,1975.0,1995.0
sim_achper-australia-healthy-lifestyles-journal,ACHPER Australia Healthy Lifestyles Journal,,1975.0,2008.0
sim_aci-materials-journal,ACI Materials Journal,,1987.0,2014.0
sim_aci-structural-journal,ACI Structural Journal,,1987.0,2014.0
sim_acls-newsletter,ACLS Newsletter,1988; 1992; ,1949.0,1995.0
sim_acm-computing-surveys,Association for Computing Machinery: Computing Surveys,,1969.0,2007.0
sim_acm-transactions-on-computer-systems,ACM Transactions on Computer Systems,,1986.0,2007.0
sim_acm-transactions-on-database-systems,Association for Computing Machinery: Transactions on Database Systems,,1978.0,2007.0
sim_acm-transactions-on-graphics,ACM Transactions on Graphics,,1986.0,2007.0
sim_acm-transactions-on-information-systems,ACM Transactions on Information Systems,,1986.0,2007.0
sim_acm-transactions-on-mathematical-software,Association for Computing Machinery: Transactions on Mathematical Software,,1978.0,2006.0
sim_acm-transactions-on-programming-languages-and-systems,ACM Transactions on Programming Languages and Systems,,1986.0,2007.0
sim_acn-asian-chemical-news,ACN: Asian Chemical News,,2003.0,2003.0
sim_acoustical-physics,Acoustical Physics,2007; ,1955.0,2010.0
sim_acp-journal-club,ACP Journal Club,,1998.0,2008.0
sim_acs-division-of-fuel-chemistry-preprints,ACS Division of Fuel Chemistry: Preprints of Papers,,1957.0,2008.0
sim_acs-division-of-petroleum-chemistry-preprints,ACS Division of Petroleum Chemistry: Preprints of Papers,1999; ,1956.0,2008.0
sim_acsm-bulletin,ACSM Bulletin,,1989.0,1994.0
